Participant,Scenario,Model,Log-Likelihood,AIC,BIC,Beta
1,indifference,Luce,-4.760284491702257,13.520568983404514,14.125739169392606,"[1585.3158, 23.6432]"
1,indifference,RUM,-4.760283383490195,13.52056676698039,14.125736952968483,"[15.8672, 0.2363]"
1,indifference,ARUM,-4.760284041887729,13.520568083775458,14.12573826976355,"[1587.7736, 23.5087]"
1,indifference,APUM,-4.2658401959181615,12.531680391836323,13.136850577824415,"[1424.9114, 21.6162]"
1,experimentation,Luce,-2.8744140212990383,9.748828042598078,10.353998228586168,"[481.7566, -546.2148]"
1,experimentation,RUM,-2.874414085548566,9.74882817109713,10.353998357085224,"[2.1626, -5.4639]"
1,experimentation,ARUM,-2.874418220226758,9.748836440453516,10.354006626441608,"[463.5738, -547.4152]"
1,experimentation,APUM,-2.5746727485000815,9.149345497000162,9.754515682988256,"[362.5629, -491.6158]"
1,indecisiveness,Luce,-1.7657896295132493e-06,100.00000353157925,115.12925818128154,"[-1.0556, -0.2585, -0.1433, -0.504, -1.5501]"
1,indecisiveness,RUM,-110.52408442371421,321.0481688474284,336.1774234971307,"[0.013, 1.4535, -0.2647, 2.7202, 0.6257]"
1,indecisiveness,ARUM,-2.347977261535145e-06,100.00000469595453,115.12925934565682,"[-0.9348, -1.8438, 1.0498, 0.9343, -1.0844]"
1,indecisiveness,APUM,6.343806665518099e-05,99.99987312386669,115.12912777356898,"[0.0902, -0.6395, 0.2178, -0.2472, -0.0786]"
2,indifference,Luce,-6.07467339831287,16.14934679662574,16.75451698261383,"[1657.1072, -42.0349]"
2,indifference,RUM,-6.074673137985622,16.149346275971244,16.754516461959334,"[16.5701, -0.4204]"
2,indifference,ARUM,-6.074674400902117,16.149348801804233,16.754518987792324,"[1658.7217, -42.1293]"
2,indifference,APUM,-5.451990940295261,14.903981880590521,15.509152066578613,"[1493.456, -37.7327]"
2,experimentation,Luce,-2.8744139420064667,9.748827884012933,10.353998070001026,"[473.3116, -546.464]"
2,experimentation,RUM,,,,
2,experimentation,ARUM,-2.8744139941686284,9.748827988337258,10.353998174325348,"[413.4253, -546.2369]"
2,experimentation,APUM,-2.5746711086231535,9.149342217246307,9.754512403234399,"[399.8467, -492.2702]"
2,indecisiveness,Luce,-2.6829253382995502e-06,100.00000536585068,115.12926001555297,"[1.1341, -2.4844, 2.6505, -1.6941, 2.5392]"
2,indecisiveness,RUM,-128.9447651776666,357.8895303553332,373.0187850050355,"[0.2705, -0.0502, -0.2389, -0.9076, -0.5768]"
2,indecisiveness,ARUM,-2.834383014062665e-06,100.00000566876602,115.12926031846831,"[7.4424, -8.6648, 4.4589, -5.1395, 7.8887]"
2,indecisiveness,APUM,1.952090665317294e-05,99.99996095818669,115.12921560788898,"[0.9412, 0.4277, -0.4901, 0.9714, -0.4681]"
3,indifference,Luce,-3.649710720364153,11.299421440728306,11.904591626716398,"[4148.1044, -133.6047]"
3,indifference,RUM,,,,
3,indifference,ARUM,-3.649732673951081,11.299465347902162,11.904635533890254,"[4171.7203, -134.6721]"
3,indifference,APUM,,,,
3,experimentation,Luce,-5.491943710984279,14.983887421968557,15.589057607956649,"[148.1038, -126.0824]"
3,experimentation,RUM,-5.4919290157833816,14.983858031566763,15.589028217554855,"[4.1258, -1.2605]"
3,experimentation,ARUM,-5.4919443933745615,14.983888786749123,15.589058972737215,"[147.6028, -126.1137]"
3,experimentation,APUM,-4.9372617840214765,13.874523568042953,14.479693754031045,"[129.1402, -113.8642]"
3,indecisiveness,Luce,-1.299672149130772e-06,100.0000025993443,115.12925724904659,"[2.482, -0.1577, -1.4154, 0.5085, -3.5619]"
3,indecisiveness,RUM,-92.10340366976213,284.2068073395243,299.33606198922655,"[-0.0495, 0.6748, -1.1227, 0.3824, 0.1665]"
3,indecisiveness,ARUM,-2.7498634451054226e-06,100.0000054997269,115.12926014942919,"[0.5667, -0.2357, 2.0634, 1.2097, 1.3261]"
3,indecisiveness,APUM,6.282425965045952e-05,99.9998743514807,115.12912900118299,"[-1.0784, -0.4811, 1.8022, -0.3009, 2.1272]"
4,indifference,Luce,-5.289568576893955,14.57913715378791,15.184307339776002,"[1857.7373, -30.5933]"
4,indifference,RUM,-5.289567525542214,14.579135051084428,15.18430523707252,"[18.5587, -0.3049]"
4,indifference,ARUM,-5.289567993557712,14.579135987115423,15.184306173103515,"[1855.0933, -30.4742]"
4,indifference,APUM,-4.74339077770064,13.48678155540128,14.091951741389371,"[1663.791, -26.9774]"
4,experimentation,Luce,-5.448468838152305,14.89693767630461,15.502107862292702,"[29.3422, -221.7984]"
4,experimentation,RUM,,,,
4,experimentation,ARUM,-5.448468840392589,14.896937680785179,15.50210786677327,"[29.3441, -221.8118]"
4,experimentation,APUM,-4.890334184568441,13.780668369136881,14.385838555124973,"[26.4976, -199.9863]"
4,indecisiveness,Luce,-3.538007305526233e-06,100.00000707601461,115.1292617257169,"[0.1464, 0.9114, 1.2995, 1.1943, 0.6286]"
4,indecisiveness,RUM,-92.1034036787239,284.2068073574478,299.3360620071501,"[0.5948, 0.8534, 0.7589, 0.2812, 0.1042]"
4,indecisiveness,ARUM,-1.7921753379694504e-06,100.00000358435068,115.12925823405297,"[-0.8468, 0.9298, 0.0392, 0.3155, 0.6258]"
4,indecisiveness,APUM,1.4682557185960447e-05,99.99997063488563,115.12922528458792,"[-0.7355, 0.9339, 1.3935, 0.6091, -1.0923]"
