Participant,Scenario,Model,Log-Likelihood,AIC,BIC,Beta
1,indifference,Luce,-10.781881806388206,25.563763612776413,26.168933798764506,"[15.7507, -19.9355]"
1,indifference,RUM,-10.781881510816449,25.563763021632898,26.168933207620988,"[0.1575, -0.1994]"
1,indifference,ARUM,-10.781881806052306,25.563763612104612,26.168933798092702,"[15.7517, -19.9362]"
1,indifference,APUM,-9.702002049785104,23.40400409957021,24.009174285558302,"[14.2908, -18.09]"
1,indecisiveness,Luce,-1.7697938629559935e-06,100.00000353958772,115.12925818929001,"[5.7221, -1.266, -5.753, -0.4592, 1.2821, -0.5013, -0.0791, -0.4185, -1.01, -1.2164, 0.5674, 5.1161, -2.9381, -1.1974, -1.165, -1.4986, 2.8477, 1.7802, -0.475, 0.8801, -0.1678, -1.949, 0.5847, -2.1334, -5.0323, 1.0595, 2.2164, 5.4854, 0.0086, -0.1772, 0.2953, -0.2734, 0.4109, 1.9018, 3.2792, 1.3235, 2.4888, 0.998, -1.9812, 0.0879, 1.523, 4.0693, -3.8528, 0.4995, -0.2584, 0.0502, -0.7874, 3.1311, -0.2758, 0.9464]"
1,indecisiveness,RUM,-110.52408442371421,321.0481688474284,336.1774234971307,"[1.9087, -1.3428, 0.6112, 0.0232, 1.7947, -0.9092, -0.7523, -0.0499, -0.4935, -0.4593, 2.0284, 0.127, -0.7847, -0.39, 0.4049, 0.3374, -0.5773, -1.628, -0.0505, -0.0776, -0.6461, 1.2798, 0.5746, 0.1348, -0.3607, 1.733, -1.1545, -0.4966, -0.4524, 0.299, 0.6609, -1.3366, -0.6846, 0.4476, -0.6651, -0.4018, 0.1726, -0.9799, 0.2776, 0.6126, 0.0384, 1.4254, 0.7254, -0.0409, -0.3214, 1.7547, -0.6615, -0.2722, -0.4098, 0.3978]"
1,indecisiveness,ARUM,-1.8283465419049476e-06,100.00000365669308,115.12925830639537,"[4.3975, -0.9251, -1.2927, -0.7829, 0.0372, -0.1878, 0.3554, 1.8327, -0.396, 1.0133, -0.7088, 1.9126, -1.7765, 0.1321, -2.2601, -1.9384, 1.3611, -0.2658, -3.7442, 4.204, -1.4778, -6.205, 6.0498, 0.159, 0.1255, 2.1792, -1.5946, 0.4596, 0.16, -1.4556, 0.0083, 0.3373, -2.3213, 1.0932, 0.8078, 1.1039, 1.4104, 0.0015, -0.4405, -0.5421, -0.9938, 3.0427, -1.9812, -6.7124, -7.3317, -3.9258, -2.5804, 8.878, 9.9024, 0.1123]"
1,indecisiveness,APUM,1.7833145958976415e-05,99.99996433370808,115.12921898341037,"[2.2885, -1.2959, -1.3978, -1.4002, 2.2193, 1.4508, 0.1888, -1.4044, -0.2482, -0.4573, -0.3612, 4.6945, -1.7924, -1.6018, -1.3555, 0.583, 1.1147, 1.2501, -0.3835, 0.902, -0.9119, -0.7831, 0.6319, -1.0755, -1.3065, 1.4177, -0.038, 3.3372, -1.0879, 0.344, -0.2131, -0.3776, 0.0128, 1.7054, 0.2357, 2.4048, 0.9757, -1.4089, -1.246, -1.4903, -0.3177, 2.5137, -1.0529, 1.3187, -0.2053, -0.516, -2.1251, 0.5908, 2.5458, 0.3148]"
1,experimentation,Luce,-10.452906403054657,24.905812806109314,25.510982992097404,"[-0.3326, 1.3929]"
1,experimentation,RUM,-147.36544593161895,298.7308918632379,299.336062049226,"[0.9396, -1.6835]"
