Participant,Scenario,Model,Log-Likelihood,AIC,BIC,Beta_Index,Beta_Value
1,indifference,Luce,-10.781881806388206,25.563763612776413,26.168933798764506,Beta_1,15.7507
1,indifference,Luce,-10.781881806388206,25.563763612776413,26.168933798764506,Beta_2,-19.9355
1,indifference,RUM,-10.781881510816449,25.563763021632898,26.168933207620988,Beta_1,0.1575
1,indifference,RUM,-10.781881510816449,25.563763021632898,26.168933207620988,Beta_2,-0.1994
1,indifference,ARUM,-10.781881806052306,25.563763612104612,26.168933798092702,Beta_1,15.7517
1,indifference,ARUM,-10.781881806052306,25.563763612104612,26.168933798092702,Beta_2,-19.9362
1,indifference,APUM,-9.702002049785104,23.40400409957021,24.009174285558302,Beta_1,14.2908
1,indifference,APUM,-9.702002049785104,23.40400409957021,24.009174285558302,Beta_2,-18.09
1,indecisiveness,Luce,-1.7697938629559935e-06,100.00000353958772,115.12925818929001,Beta_1,5.7221
1,indecisiveness,Luce,-1.7697938629559935e-06,100.00000353958772,115.12925818929001,Beta_2,-1.266
1,indecisiveness,Luce,-1.7697938629559935e-06,100.00000353958772,115.12925818929001,Beta_3,-5.753
1,indecisiveness,Luce,-1.7697938629559935e-06,100.00000353958772,115.12925818929001,Beta_4,-0.4592
1,indecisiveness,Luce,-1.7697938629559935e-06,100.00000353958772,115.12925818929001,Beta_5,1.2821
1,indecisiveness,Luce,-1.7697938629559935e-06,100.00000353958772,115.12925818929001,Beta_6,-0.5013
1,indecisiveness,Luce,-1.7697938629559935e-06,100.00000353958772,115.12925818929001,Beta_7,-0.0791
1,indecisiveness,Luce,-1.7697938629559935e-06,100.00000353958772,115.12925818929001,Beta_8,-0.4185
1,indecisiveness,Luce,-1.7697938629559935e-06,100.00000353958772,115.12925818929001,Beta_9,-1.01
1,indecisiveness,Luce,-1.7697938629559935e-06,100.00000353958772,115.12925818929001,Beta_10,-1.2164
1,indecisiveness,Luce,-1.7697938629559935e-06,100.00000353958772,115.12925818929001,Beta_11,0.5674
1,indecisiveness,Luce,-1.7697938629559935e-06,100.00000353958772,115.12925818929001,Beta_12,5.1161
1,indecisiveness,Luce,-1.7697938629559935e-06,100.00000353958772,115.12925818929001,Beta_13,-2.9381
1,indecisiveness,Luce,-1.7697938629559935e-06,100.00000353958772,115.12925818929001,Beta_14,-1.1974
1,indecisiveness,Luce,-1.7697938629559935e-06,100.00000353958772,115.12925818929001,Beta_15,-1.165
1,indecisiveness,Luce,-1.7697938629559935e-06,100.00000353958772,115.12925818929001,Beta_16,-1.4986
1,indecisiveness,Luce,-1.7697938629559935e-06,100.00000353958772,115.12925818929001,Beta_17,2.8477
1,indecisiveness,Luce,-1.7697938629559935e-06,100.00000353958772,115.12925818929001,Beta_18,1.7802
