Participant,Scenario,Model,Log-Likelihood,AIC,BIC,Beta
1,indifference,Luce,-8.044503455212032,20.089006910424065,20.694177096412155,"[-217.7956, -65.6369]"
1,indifference,RUM,-8.044502619827496,20.08900523965499,20.69417542564308,"[-2.1737, -0.6569]"
1,indifference,ARUM,-8.044503160085718,20.089006320171436,20.69417650615953,"[-217.0927, -65.7046]"
1,indifference,APUM,-7.229577393456935,18.45915478691387,19.064324972901964,"[-197.9643, -59.1381]"
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,"[-20.6378, -3.7442, 26.0194, -5.288, 8.0446, 0.2525, -5.8491, 3.0181, -4.8124, 0.6513, -1.1699, 1.2333, -1.7878, -6.8054, -6.0567, 26.984, -23.5189, -21.7517, -0.3576, 13.5865, -14.3463, -1.3155, 18.2705, -16.3134, 2.9931, -0.9416, 1.4764, -0.6024, -1.5261, -2.9399, -1.578, 3.2102, 2.3592, -2.2047, -0.0701, -15.9792, -15.9912, 12.2907, 2.0137, -1.7512, -0.1013, 19.2955, -16.9073, 0.8315, -1.7464, 17.4921, 14.4446, -14.3805, -14.2345, -0.5308]"
1,indecisiveness,RUM,-147.36544593161895,394.7308918632379,409.8601465129402,"[1.847, 0.266, -0.2135, 0.1385, 0.7643, 0.0108, 0.8819, -1.6849, -0.748, -2.1388, 1.997, 1.984, 0.6266, -1.0126, 2.3899, -0.6044, -0.2132, 0.1595, 0.4515, 0.6438, 0.684, -0.1445, 0.6681, -0.1892, 0.5793, 0.4973, 0.7628, 0.638, -0.4424, 0.4587, 0.6534, -1.2911, -0.274, 0.6081, 1.7093, 0.8249, 1.7724, -0.3984, 0.2502, 0.8057, -2.3264, 1.5108, -1.8609, 0.9969, 0.6868, -2.3396, -2.2891, 1.4325, 1.2147, -0.8809]"
1,indecisiveness,ARUM,-1.1885781312347104e-06,100.00000237715626,115.12925702685855,"[-9.3685, -4.7684, 13.755, 1.0572, 0.4756, 1.583, 4.9967, 3.107, -3.6681, -0.1815, -0.3906, 2.3279, -0.7566, 0.2604, -2.245, 6.3765, -3.4433, -6.6341, 2.2394, 1.1174, -2.573, -1.3206, 2.2656, 1.9992, 7.1563, -4.8706, -1.1778, -7.1184, -1.6795, -4.4557, -3.0887, 4.0635, 4.7187, -0.9367, -0.8757, -0.8112, -1.6185, 2.6654, -0.9751, -5.3493, -4.4351, 8.3607, -5.131, -3.7511, -2.114, 4.3048, 7.0607, -3.7022, -2.3956, -1.0229]"
1,indecisiveness,APUM,1.835437449775098e-05,99.999963291251,115.1292179409533,"[-0.9518, -0.312, 1.6464, -0.2487, -0.0636, 0.8074, 0.9144, 0.4651, -1.1433, 0.155, -0.2914, 0.6848, -1.4618, 0.1417, -0.8538, 1.0381, -0.6693, -0.6519, 0.4454, 1.7821, 0.5087, -1.6293, 1.8778, -0.6383, 1.1866, -0.9106, -2.6358, -1.612, -0.4152, -0.8988, -1.0172, 3.2024, 3.8928, -3.2919, -4.4542, -2.091, -2.2175, 4.3493, 0.3374, 0.0558, -2.4577, 1.7818, -3.8126, 0.2383, -0.5677, 1.5451, 0.938, -0.845, -1.703, 0.981]"
1,experimentation,Luce,-9.031455240830706,22.06291048166141,22.668080667649505,"[-0.2536, -21.4953]"
1,experimentation,RUM,-40.341873703723856,84.68374740744771,85.2889175934358,"[-0.7705, -0.7157]"
