Participant,Scenario,Model,Log-Likelihood,AIC,BIC,Beta_Index,Beta_Value
1,indifference,Luce,-8.044503455212032,20.089006910424065,20.694177096412155,Beta_1,-217.7956
1,indifference,Luce,-8.044503455212032,20.089006910424065,20.694177096412155,Beta_2,-65.6369
1,indifference,RUM,-8.044502619827496,20.08900523965499,20.69417542564308,Beta_1,-2.1737
1,indifference,RUM,-8.044502619827496,20.08900523965499,20.69417542564308,Beta_2,-0.6569
1,indifference,ARUM,-8.044503160085718,20.089006320171436,20.69417650615953,Beta_1,-217.0927
1,indifference,ARUM,-8.044503160085718,20.089006320171436,20.69417650615953,Beta_2,-65.7046
1,indifference,APUM,-7.229577393456935,18.45915478691387,19.064324972901964,Beta_1,-197.9643
1,indifference,APUM,-7.229577393456935,18.45915478691387,19.064324972901964,Beta_2,-59.1381
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_1,-20.6378
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_2,-3.7442
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_3,26.0194
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_4,-5.288
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_5,8.0446
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_6,0.2525
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_7,-5.8491
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_8,3.0181
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_9,-4.8124
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_10,0.6513
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_11,-1.1699
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_12,1.2333
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_13,-1.7878
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_14,-6.8054
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_15,-6.0567
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_16,26.984
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_17,-23.5189
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_18,-21.7517
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_19,-0.3576
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_20,13.5865
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_21,-14.3463
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_22,-1.3155
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_23,18.2705
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_24,-16.3134
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_25,2.9931
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_26,-0.9416
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_27,1.4764
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_28,-0.6024
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_29,-1.5261
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_30,-2.9399
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_31,-1.578
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_32,3.2102
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_33,2.3592
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_34,-2.2047
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_35,-0.0701
1,indecisiveness,Luce,-9.462569097222583e-07,100.00000189251382,115.12925654221611,Beta_36,-15.9792
